Age,Attrition,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,0,1102,Cardiology,1,2,Life Sciences,1,2,Female,94,3,2,Nurse,4,Single,5993,8,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,0,279,Maternity,8,1,Life Sciences,1,3,Male,61,2,2,Other,2,Married,5130,1,No,23,4,4,80,1,10,3,3,10,7,1,7
37,1,1373,Maternity,2,2,Other,1,4,Male,92,2,1,Nurse,3,Single,2090,6,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,0,1392,Maternity,3,4,Life Sciences,1,4,Female,56,3,1,Other,3,Married,2909,1,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,0,591,Maternity,2,1,Medical,1,1,Male,40,3,1,Nurse,2,Married,3468,9,No,12,3,4,80,1,6,3,3,2,2,2,2
32,0,1005,Maternity,2,2,Life Sciences,1,4,Male,79,3,1,Nurse,4,Single,3068,0,No,13,3,3,80,0,8,2,2,7,7,3,6
59,0,1324,Maternity,3,3,Medical,1,3,Female,81,4,1,Nurse,1,Married,2670,4,Yes,20,4,1,80,3,12,3,2,1,0,0,0
30,0,1358,Maternity,24,1,Life Sciences,1,4,Male,67,3,1,Nurse,3,Divorced,2693,1,No,22,4,2,80,1,1,2,3,1,0,0,0
38,0,216,Maternity,23,3,Life Sciences,1,4,Male,44,2,3,Therapist,3,Single,9526,0,No,21,4,2,80,0,10,2,3,9,7,1,8
36,0,1299,Maternity,27,3,Medical,1,3,Male,94,3,2,Nurse,3,Married,5237,6,No,13,3,2,80,2,17,3,2,7,7,7,7
35,0,809,Maternity,16,3,Medical,1,1,Male,84,4,1,Nurse,2,Married,2426,0,No,13,3,3,80,1,6,5,3,5,4,0,3
29,0,153,Maternity,15,2,Life Sciences,1,4,Female,49,2,2,Nurse,3,Single,4193,0,Yes,12,3,4,80,0,10,3,3,9,5,0,8
31,0,670,Maternity,26,1,Life Sciences,1,1,Male,31,3,1,Other,3,Divorced,2911,1,No,17,3,4,80,1,5,1,2,5,2,4,3
34,0,1346,Maternity,19,2,Medical,1,2,Male,93,3,1,Nurse,4,Divorced,2661,0,No,11,3,3,80,1,3,2,3,2,2,1,2
28,1,103,Maternity,24,3,Life Sciences,1,3,Male,50,2,1,Nurse,3,Single,2028,5,Yes,14,3,2,80,0,6,4,3,4,2,0,3
29,0,1389,Maternity,21,4,Life Sciences,1,2,Female,51,4,3,Therapist,1,Divorced,9980,1,No,11,3,3,80,1,10,1,3,10,9,8,8
32,0,334,Maternity,5,2,Life Sciences,1,1,Male,80,4,1,Other,2,Divorced,3298,0,Yes,12,3,4,80,2,7,5,2,6,2,0,5
22,0,1123,Maternity,16,2,Medical,1,4,Male,96,4,1,Nurse,4,Divorced,2935,1,Yes,13,3,2,80,2,1,2,2,1,0,0,0
53,0,1219,Cardiology,2,4,Life Sciences,1,1,Female,78,2,4,Administrative,4,Married,15427,2,No,16,3,3,80,0,31,3,3,25,8,3,7
38,0,371,Maternity,2,3,Life Sciences,1,4,Male,45,3,1,Other,4,Single,3944,5,Yes,11,3,3,80,0,6,3,3,3,2,1,2
24,0,673,Maternity,11,2,Other,1,1,Female,96,4,2,Therapist,3,Divorced,4011,0,No,18,3,4,80,1,5,5,2,4,2,1,3
36,0,1218,Cardiology,9,4,Life Sciences,1,3,Male,82,2,1,Other,1,Single,3407,7,No,23,4,2,80,0,10,4,3,5,3,0,3
34,0,419,Neurology,7,4,Life Sciences,1,1,Female,53,3,3,Other,2,Single,11994,0,No,11,3,3,80,0,13,4,3,12,6,2,11
21,0,391,Maternity,15,2,Life Sciences,1,3,Male,96,3,1,Other,4,Single,1232,1,No,14,3,4,80,0,0,6,3,0,0,0,0
34,0,699,Maternity,6,1,Medical,1,2,Male,83,3,1,Other,1,Single,2960,2,No,11,3,3,80,0,8,2,3,4,2,1,3
53,0,1282,Neurology,5,3,Other,1,3,Female,58,3,5,Other,3,Divorced,19094,4,No,11,3,4,80,1,26,3,2,14,13,4,8
32,1,1125,Maternity,16,1,Life Sciences,1,2,Female,72,1,1,Other,1,Single,3919,1,Yes,22,4,2,80,0,10,5,3,10,2,6,7
42,0,691,Cardiology,8,4,Marketing,1,3,Male,48,3,2,Nurse,2,Married,6825,0,No,11,3,4,80,1,10,2,3,9,7,4,2
44,0,477,Maternity,7,4,Medical,1,1,Female,42,2,3,Nurse,4,Married,10248,3,No,14,3,4,80,1,24,4,3,22,6,5,17
46,0,705,Cardiology,2,4,Marketing,1,2,Female,83,3,5,Administrative,1,Single,18947,3,No,12,3,4,80,0,22,2,2,2,2,2,1
33,0,924,Maternity,2,3,Medical,1,3,Male,78,3,1,Nurse,4,Single,2496,4,No,11,3,4,80,0,7,3,3,1,1,0,0
44,0,1459,Maternity,10,4,Other,1,4,Male,41,3,2,Nurse,4,Married,6465,2,Yes,13,3,4,80,0,9,5,4,4,2,1,3
30,0,125,Maternity,9,2,Medical,1,4,Male,83,2,1,Nurse,3,Single,2206,1,No,13,3,1,80,0,10,5,3,10,0,1,8
